name,city,avg_rating,sample_comment
Antlers Inn,Walden,3.9473684210526314,"On previous visits, I have stayed at several motels in Walden. This time, I decided to splurge. I spent about 20 more here than at other places, and it sure was worth it! The hotel has beautiful furnishings throughout the restaurant, lobby, and rooms. Comfortable sleep. Friendly staff. I would definitely stay at Antlers Inn the next time I'm in... More"
Arcola Inn,Arcola,1.3333333333333333,Our rooms were terrible. Both smelled like mildew. Wallpaper peeling off the walls. Floor sunk in several places. It wasvery obvious there had been water damage in both rooms and nothingt nothing had been done to repair the damage. The curtains had holes in them. I will never stay here again.
Arion,Ramey,4.475,"Fantastisk onrde, drlig mat, extremt overpriset"
Arizona Inn of Prescott Valley,Prescott Valley,3.126315789473684,"Not a fancy motel with lots of bells and whistles, just a good, clean place to stay. Rooms were small and the bathroom is tiny, but all we used it for was to sleep and prepare for the next so it suited us just fine. Beds and pillows were comfortable and it seemed to be a safe spot. They allow pets without a fee or deposit which was a BIG plus for our group. My children appreciated the free wi-fi. The free breakfast was nice also."
Arrowhead Motel and Rv Park,Ruidoso,5.0,"Thank you so much for getting us a room at the last minute on Saturday .It was quite and nice , Very friendly .. and My Husband was like wow we are using a key lol .. But really we will stay there again on our short stays .."
Aspen Alps,Aspen,4.8,"We went to Aspen Alps August 2015 to visit some friends who have a house in town. My husband and I, our 2 boys and my mom. The apartment was wonderful. It was on the first floor (no stairs for my 69 year old mom!) and the backyard was Aspen mountain. In the winter - it's ski in/ski out. My... More"
Aspen Haus Bed and Breakfast,Healy,4.7,"Our family of four (two adults, kids ages 9 and 7yo) stayed here for two nights during our recent visit to Denali. Our suite was spotless and had plenty of room for us to sleep comfortably. The owner greeted us upon arrival and gave us helpful pointers about places to eat (49th State Brewing Co) and driving to Denali (road... More"
Astro Motel,Waco,1.0,"This is the most disguisting motel that I have ever been to. They have rodents, and the shower doesn't even work. They put inappropiate cat stuff in the thing under the window. The air out of the conditioner smells so nasty. I would not reccommend this motel to anybody ever."
Atlanta Marriott Northwest At Galleria,Atlanta,0.0,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
Atlantic House,Narragansett,2.6470588235294117,"We enjoyed our stay ,The location is perfect as everything is within walking distance.The hotel is very simple and that was perfect for us .Ice machine in the lobby was great for our day trip.Will go back for sure!!"
Avalon Hotel Group,Gonzales,0.0,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
Azul Beach Hotel By Karisma Gourmet Inclusive,Mont Belvieu,4.125,"The Hotel was perfect and the food was excellent, close to the beach, 5 kind of restaurant, the Hotel staff is very friendly,"
Bailey Hotel,Bunkie,0.0,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
Bailey House Bed & Breakfast,Williams Bay,4.416666666666667,"best bb in lake geneva area We enjoyed horseback riding at the neaby Fantasy Hills Stables, took a boat tour of the amazing houses around Lake Geneva and walked around the downtown area. THis BB is particularly excellent because it keeps you very close to the goings on in and around Lake Geneva, but Williams Bay is a much quieter setting and ideal for a relaxing weekend. Plenty to do if you're interested, and if not, just relax and unwind! Only potential drawback was that they let their adorable dog (Barney) on the furniture in the common areas of the house. So if you have any kind of allergies this may be a problem (wasn't for us, and he was sooo cute!) Liked Great location and the amazing breakfasts!!! (Karen's chocolate pastries were unbelievable! Don't try to stick to your diet here!) Disliked The decor was too flowery for my liking, but who picks a place because of the decor!"
Barber Joyce,Hobart,0.0,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
Bay Haven Inn Bed Breakfast,Port Clinton,0.0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Bay Shores Yachttennisclub 514 2 Br Condo By Redawning,Indian Rocks Beach,4.909090909090909,"We come back to Bayshore Yacht Tennis club year after year. The beach is perfect, the pool is heated. There is a hot tub, grills and a beautiful view of the Inter-coastal from our large private balcony. The restaurants and activities are fantastic. We highly recommend this building and area."
Baymont Inn & Suites Griffin,Griffin,4.028169014084507,"We enjoyed it very much, Thankful for a comfortable stay!"
Baymont Inn and Suites Boone,Boone,2.855421686746988,Family weekend. Rooms were to small. Hot tub out of order. No fan in bathroom. Would not stay here again.
Baymont Inn and Suites Enid,Enid,3.9565217391304346,"great experience, great stay and very centrally located, perfect"
Bayside Resort Hotel,West Yarmouth,4.157894736842105,Staffs are very nice!
Beach Cove 411 Tower A Sierra's 1 Bedroom Condo By Prista Management,North Myrtle Beach,4.285714285714286,"Great location, just outside the busiest areas.  Beautiful beach and amenities.  Could use some updating to get it out of the 1980's, but it's clean, and the staff are friendly."
Beach Haven Vacation Rental House,Beach Haven,,"Thank you for the great service How can you go wrong when you can spend your vacation time relaxing in the luxury of a beautiful, sparklingly clean 4 bedroom, 4 bathroom fully appointed home complete with its own private pool and spa, 2 master suites with king-size beds, game room, covered lanai, massive main TV and a total of 5 televisions and 5 DVD players Answer: you cant. And its pretty amazing that if you added up the cost of a single room at a Disney property that sleeps 4, and the cost of every meal, snack and beverage, it is LESS EXPENSIVE! We will NEVER stay in a hotel again it would be insane!"
Beacon Motel,Kiowa,0.0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Bear Cove Inn,Saint Ignace,4.181818181818182,"We have been staying here nearly every year since 2006 and will never stay at any other establishment in the area. This year our son walked into the room we always had and exclaimed Ahhhhh, my second home This year our family booked 5 of the 9 rooms and as every year was wonderful. Bob and Elaine are the best... More"
Bellaire Motel Lodge,Port Sanilac,0.0,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
Bent Elbow,Silverton,3.5454545454545454,"Made a reservation over the phone for the fourth of July ten months in advance. Used a cc to confirm. Called a couple weeks later to confirm once again and was assured everything was fine. Received a call 7 months in advance saying our reservations were cancelled, citing that a fill in had messed up. When pressed, the manager was... More"
Berkshire By The Sea A Vri Resort,Delray Beach,4.8,"We spend a week on this resort and we love it. First has prime location near everything walking distance. The property is well maintained and upper class. I love it. The apartment was on first floor and from the living area we had access to the pool. Nothing bad to say, I love this resort, the rooms are somehow showing... More"
Berney Fly Bed and Breakfast,Mobile,4.54054054054054,"We stayed in the poolside room for one night and loved being in the backyard by the pool. The grounds are beautifully landscaped with trees and vines and flowers inside a privacy fence. It was a comfortable and very safe feeling for two ladies traveling alone. The shower was brand new, and our room was extremely clean. Our host was... More"
Best Western,Brookfield,,"Budget hotel offers standard amenities and low rates to road-weary travelers. In ShortSince 1946, this Phoenix, Ariz.-based hotel chain has provided guests with comfortable accommodations. Its BestRequests program offers 16 of the most frequently requested services and amenities, including complimentary in-room tea/coffeemakers, hair dryers, iron and ironing boards, free local calls less than 30 minutes and long-distance access. Complimentary toiletries, like toothpaste, razors and sewing kits, are also available upon request. Business travelers will enjoy the computer data ports in each room and photocopying services."
Best Western Burlington Inn,Burlington,,VERY GOOD IF YOUR GOING ON A TRIP I WOULD DEFINETLY CHOOSE BEST WESTERN. GREAT FOR STAY AND ENTERTAINMENT (PARTIES)
Best Western Eufaula Inn,Eufaula,4.157894736842105,"This hotel was very clean and offered the best value for the rate. There are only a few hotels in this area to choose from and Best Western definitely gives more than it needs to. Best Western has free breakfast, WiFi, a fitness center, and an indoor swimming pool. The hotel was very clean and the room was big and... More"
Best Western Hartford Hotel & Suites,Hartford,3.960526315789474,"Quick, easy, comfortable Close to Xfinity Theatre"
Best Western Holiday Hills,Coalville,4.2835820895522385,All I needed while just spending a night passing through.
Best Western Hospitality Hotel and Suites,Grand Rapids,3.6073529411764707,One night stay. The room was very clean. Staff friendly. Pool and hot tub very nice. Only had two issues. TV picture was horrible. Not HD. Not a big deal for one night. Asked for extra 30 minutes to check out and was told they don't do late check out. First time I've ever been denied. Overall though a nice place
Best Western Hotel De Neuville,Irving,4.081967213114754,Comfortable stay professional staff very good breakfast this hotel will be our destination next time.
Best Western Hotel Goldenmile Milan,Washington,,"Ideal Hotel for business trips in the north area of Milano. Confortable, clean and big rooms and excellent service (restaurant and breakfast) Free parking area and good relation Price quality. The best rooms are in the internal area not infront the steet."
Best Western Knoxville Suites,Knoxville,3.923076923076923,Love the breakfast. Decor feels old and poor sound proof. I can easily hear people next door chatting and laughing.
Best Western Luxury Inn,Tracy,3.6666666666666665,"I stayed at the Best Western Luxury Hotel on November 4, 2010. I lodged a complaint about broken furniture that might have caused me an injury. The owner implied that perhaps I broke the furniture. It was a sofa bed in the front room of the suite. I was charged 120.00 for the suite. When I checked in, I was told there was wet bar. When I got in the room, there was nothing, but an empty refrigerator and cabinets, which is not the definition of a hotel wet bar. When I sat on the bed, ...view morethe frame broke. When I tried to get out, it broke again. My roommate had to come and help me get out of thebed. Then the bed could not be put back in the couch. I have had a hip replacement. Sitting on that sofa bed with a broken frame that fell in could have caused damage to my hip. And, that was not all the curtains in the room were too short to cover the entire window so there was light in the room all night. The last straw was that the room had a hair dryer that would not stay on while in use. I had to hold the on button to use the dryer, which made it totally useless. Our stay was not a good experience. I have stayed in Best Western Hotels all over the US and never used one with this many problems. When I asked for a reduction in my charge, I was given only a 20, instead of a no charge for the room. I would not have been so disgruntled had the owner, Sarah Patel, given me a free night, but she did not. The hotel furniture was dangerous, did not have the wet bar that it promised, and did not have appropriate window coverings. Sarah Patel, owner of the establishment, provided (1) poor services, (2) unsafe equipment and (3) inoperable appliances. Her business tarnishes the image of Best Western Hotel International and the city of Tracy.view less"
Best Western Owasso Inn & Suites,Owasso,3.466666666666667,"Motel is EASY to access. They have a MAIN entrance to reach this motel that is clearly marked. However, there are 2 other points of access --one is thru the parking lot of Braums and the other is just East of this thru another private business. I mention this only because of another comment made earlier about Braums being the... More"
Best Western Plus,Corte Madera,,"Budget hotel offers standard amenities and low rates to road-weary travelers. In ShortSince 1946, this Phoenix, Ariz.-based hotel chain has provided guests with comfortable accommodations. Its BestRequests program offers 16 of the most frequently requested services and amenities, including complimentary in-room tea/coffeemakers, hair dryers, iron and ironing boards, free local calls less than 30 minutes and long-distance access. Complimentary toiletries, like toothpaste, razors and sewing kits, are also available upon request. Business travelers will enjoy the computer data ports in each room and photocopying services."
Best Western Plus Arlington North Hotel and Suites,Grand Prairie,4.265625,"Good stay, but the breakfast buffet wasn't good at all."
Best Western Plus Circle Inn,Enterprise,4.318181818181818,"We had a pleasant stay and the Hotel Staff was friendly and very professional. The only shortcoming ,as I said was the television programming, few local channels and no local news or movie channels were few."
Best Western Plus French Quarter Landmark Hotel,New Orleans,4.118918918918919,"We wanted a hotel near the French Quarter, but hotels there are very expensive. We found this place at a (relatively) reasonable rate. It is a 5 minute walk to Bourbon Street, a 10 minute walk to Jackson Square and a 15 minute walk to Frenchmen Street. The streetcar stops right outside the hotel and can get you to most..."
Best Western Plus Humboldt House Inn,Garberville,3.7142857142857144,Staff very courteous. The woman that checked us in offered to call housekeeping to see if our room could be prepared quickly. I really appreciated this as it was a hot day. The room was clean and comfortable with everything we needed.
Best Western Plus Kelly Inn,Saint Cloud,4.090909090909091,"We stayed in this beautiful, CLEAN hotel last night with pleasure. We had some bad luck and had to stay in a different hotel as our vehicle got worked on. The difference between the two was marked. What a relief to experience such comfort. I highly recommend it. Call Sammy's pizza for the best pizza, too. They deliver!"
Best Western Plus San Marcos Inn,Morro Bay,3.7355371900826446,"Nice hotel with pretty great perks, close to the beach. The staff was really accommodating and the room was very clean. Just needs to be modernized a but, which I believe they're doing."
Best Western Plus Waterville Grand Hotel,Waterville,3.6791044776119404,"I asked for a nonsmoking room and was pleased with the fact that it didn't seem like other people were smoking, so that's good. You get a 7 breakfast credit for the restaurant which was cool, although I think I prefer traditional continental breakfasts that are buffet style. The wifi was fast, so that was good. I didn't use the pool/hot tub/gym BUT it looked clean and ready to use. The staff was very friendly and helpful."
Best Western Plus-seaport Inn,New York,5.0,"Nice looking over the past few years. I know they remodled once before, not sure when but its quite a looker."
Best Western Rama Inn & Suites,Enterprise,,"Budget hotel offers standard amenities and low rates to road-weary travelers. In ShortSince 1946, this Phoenix, Ariz.-based hotel chain has provided guests with comfortable accommodations. Its BestRequests program offers 16 of the most frequently requested services and amenities, including complimentary in-room tea/coffeemakers, hair dryers, iron and ironing boards, free local calls less than 30 minutes and long-distance access. Complimentary toiletries, like toothpaste, razors and sewing kits, are also available upon request. Business travelers will enjoy the computer data ports in each room and photocopying services."
Best Western Saint-etienne Aeroport,Park City,4.0,"Chambre et literie trs confortables, situation proche de l'accs autoroutier, petit djeuner trs copieux et vari."
Best Western Silicon Valley Inn,Sunnyvale,4.036363636363636,relaxing
Best Western University Inn & Suites,Forest Grove,4.315789473684211,"good location, good hotel, it is close to my customer. it is my first priority hotel I want to book but sometime fully booked. this is not good. anyway I am happy when I stayed in this hotel. I will chose this hotel whenever I am on business in this area."
Best Western of Long Beach,Long Beach,3.6624605678233437,"Clean rooms,decent breakfast. Good for the price"
Bethesda Gardens,Saint Louis,0.0,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
Big Mountain Lodge,Whitefish,3.925,"Very clean! Decent breakfast. Pleasant staff. Big thirsty towels in bathroom, and even extra towels. Comfy beds. Very quiet. Convenient to Glacier NP. A little hard to find-behind Pizza Hut and Army Surplus Store. Would absolute stay here again!"
Blue Boar Inn,Midway,4.705882352941177,"Why take the transatlantic flight to Europe when you can stay at the Blue Boar Inn! Our stay was nothing short of extraordinary. While the rooms are named for British writers, the inn feels more like an Alpine hunting lodge. The furnishings, artwork, and ambience transported us to Kandersteg or Adelboden, while the stenciling throughout the building was reminiscent of... More"
Blue Jay Motel,Hampton,4.846153846153846,"The cleanest motel i saw in hampton beach !! The owner are so lovely and cheerfull,next time im going back in hampton its sure thats the place im going back !! Theres some bbq available,your five minutes away from the beach,theres a great little coffee place really close java coffee if i remember. Thanks again for that great week end... More"
Blue Top Inn,Lamar,3.6,For the money you can't go wrong. The 50 rooms are average but the 75 rooms are much updated and nice. The breakfast coupon that you get for Denny's across the street is fabulous and the service is excellent! Wi fi did not work.
Boardroom Motel,Oakland,2.5833333333333335,"I was with my team traveling for a soccer tornument in west virginia. When I got to the motel it looked sketchy from first sight. The first night I stayed everything was fine, although my teamate a few rooms down said he had stains on his bed sheets. The next day I got new towels, and only one large towell... More"
Body Tuneup,Key West,0.0,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
Boiling Springs Resort Canoe Rental,Licking,2.0,"The man who is the Proprieter of this Camp resort needs a lesson in customer service. He is rude and became loud threaten tone with me, concerning a misunderstanding, in which site he wanted me to park. His wife told me one thing and he another.The Parks bathrooms, bath houses. both were dirty. Flies and other bugs, Toilettes were soiled... More"
Bosselmans Pump Pantry Motel,Burwell,3.5,"Compared to Ogallala, I would choose Ogallala. Check in was not a problem. We were staying two nights. Our room had a refrigerator and a microwave. A free cup of coffee is available in the store. The first night our comforter must not have been changed because it had food or something else on it. We folded over the comforter... More"
Brasstown Valley Golf Club,Young Harris,0.0,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
Breakers Hotel,Rehoboth Beach,1.0,"I would not stay here if you gave me a free room ! They quote you one thing then they change it when you reserve a room or get there. Then they tell you they never said what they say ! The place has not been the same Since The Manager Kelly left, They do not care at all even if your a returning guest of 10 years. Do yourself a favor DON'T GO...... I am only giving 1 start cause I have to"
Briarcliff,Great Barrington,4.583333333333333,"Great find in the Berkshires- located right near Monument Mountain (a beautiful hike) and 15 mins from Tamglewood. Rooms are newly redone, very clean with unique amenities (ex- simple human brand soap dispensers). Hosts are above and beyond- offering great suggestions for hiking, biking, dining etc. There's even a shed to store the bikes. Breakfast was of average quality but... More"
Bridgetown Mill House Restaurant Inn,Langhorne,3.5454545454545454,"Had an excellent stay!!! The rooms are lovely, clean, dark for sleeping. Central air with a gas fireplace in case you get cool. Very attentive and kind helpful staff. I will be back on my next trip. I HIGHLY recommend this place to everyone. It's also a perfect romantic get away. The larger rooms have canopy beds and living space.... More"
Brightwood Inn Country Inn,Oglesby,4.909090909090909,"Excellent quiet country location just 5 - 10 minutes away from Starved Rock State Park -- an easy drive. Building and grounds are charming and beautiful. Breakfast both days was more than ample and was excellent. Bedding was too soft for a good night's sleep -- better the second night after removing the feather bed top. Sharon, Kevin, and the maintenance man were friendly, polite, and helpful."
Brooks Donald L Jr,Strasburg,0.0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Brookside Motel,Hill City,0.0,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
Budget Host,Interior,0.0,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
Budget Host Inn,Detroit Lakes,3.6363636363636362,"Our room was large and clean. Did not expect the refrigerator and microwave, so that was a pleasant surprise. The manager at check-in and check-out was extremely friendly and helpful. Will definitely stay here again if we're in the area."
Budget Inn,Herkimer,3.3333333333333335,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
Budget Inn South,Fort Lauderdale,2.0,My wife and i stayed at 2 nights at this hotel it was very clean and safe .The manager and staff made us feel at home and was always willing to assist in any questions we had about the Ft lauderdale area we were in .
Budget Inn-santa Maria,Santa Maria,1.0,
Busy B Ranch,Jefferson,0.0,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
Cadillac Motel,Brandywine,1.0,Did you know on 2-20-15 a man was found in room 18 murdered Boxes of wine found! Pills and drugs. Everywhere what is PG going to do this is mot the first time kids in room 31 where drugs are being sold prostitution and drugs everywhere and they are building a new motel for what more drugs and killings!!!
Cal Neva Resort,Crystal Bay,0.0,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
Calloway Inn,Baton Rouge,0.0,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
Cambria Hotel & Suites,Roanoke,4.424242424242424,"The room was gorgeous with a nice view of the mountains. It was perfectly cleaned every day, and the luxurious shower provided a soothing way to relax on an otherwise packed business trip. Breakfast at the restaurant was delicious, with reasonable prices. I highly recommend trying some of the menu items as well as the buffet. And I was served... More"
Camelback Resort Aquatopia Indoor Waterpark,Tannersville,2.3333333333333335,"Mediocre resort, the crowds were absurd, (the line for rentals was about 2.5 hours) and by the time we got rentals, they were out of certain sizes of skis and were making substitutions or asking people to wait fo returns. r r The trails, arguably the best part of the resort, only suit intermediate to advanced skiers. Their beginner trails are poorly marked, few and far between, and overly crowded. The advanced trails are too easy for those accustomed to skiing in Colorado. r r ...view moreService wise, the staff is a bit lazy, uninformed, and sometimes downright rude. There were multiple instances of being brushed aside when requesting help and multiple instances of staff members standing idly by while lines formed out the door. r r And suffice to say, the price that they charge is definitely not worth the experience you get. The food, which is understandably overpriced, was not fresh and caused a member of our party to get two days worth of stomach troubles from the cafeteria food. . r r In conclusion, avoid at all costs unless you really have no other choice. Skiing in Colorado, r New York, and even Vermont are likely betterview less"
Campanile Lyon Ecully,Cozad,3.3404255319148937,Bluffant!
Campus Inn & Suites Eugene Downtown,Eugene,3.3404255319148937,"Have been staying here while looking for a home. Love the staff, they are awesome and help with anything needed."
Candlewood,Clare,0.0,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
Candlewood Suites Eugene Springfield,Eugene,8.241666666666665,Tripping over the air conditioner when getting out of bed The room layout was great
Candlewood Suites Fort Smith,Fort Smith,,not my favorite place.
Candlewood Suites Huntersville,Huntersville,4.104477611940299,"It was a very comfortable stay, and quiet enough for a good night's sleep. I enjoyed the closeness of restaurants, groceries, and stores. I would stay here again---hopefully some time soon!"
Candlewood Suites Indianapolis Northwest,Indianapolis,4.304347826086956,"Stayed here for 3 days to attend the Indy 500. The hotel was fine, used the pool and free laundry. Appreciated the kitchen facilities, could prepare snacks and breakfast. The gas station on the corner had the basics and there was a Twin Peaks over the road. The staff on the front desk were always welcoming and polite."
Candlewood Suites Lexington,Lexington,4.45945945945946,"Well the hotel is near the highway easy to get around town, and restaurants are near the hotel. I like the rooms because they're big plus you have a place cook a meal use microwave or the stove , and a refrigerator to keep your food!"
Candlewood Suites Oklahoma City-moore,Moore,4.78125,"One night stay on our Route 66 tour, nicely looked after by reception, nice big room which was clean, good size bathroom and comfortable nights sleep. The room is a little dated but this should not put you off, good location for restaurants and close to the interstate."
Candlewood Suites Olathe,Olathe,3.909090909090909,Picked this place because of the mini kitchen. But I would not stay here again. The highway made the room very noisy. The AC/Heat was an old fashion room unit that was also very loud as was the refrigerator. Made it very difficult to sleep well. They also do not offer daily cleaning service. Nothing extra made me want to... More
Candlewood Suites West Springfield,West Springfield,3.2916666666666665,"Hotel is in a pretty good location, handy to 91, Mass Pike, 6 flags, Springfield attractions etc. There is no restaurant/bar, but you can walk to IHOP and a short drive to Bertuccis, Olive Garden, Shopping... Room was spacious and clean, flat screen TV w/DVD and they have DVDs at the desk you can borrow. Bed was 'ok', pillows 'ok'.... More"
Canyon Gate Motel,Spearfish,3.1818181818181817,This motel is at the mouth of Spearfish Canyon. The caretaker is very helpful and if you have any problems she responds to them immediately. This is very affordable and the rooms are being up-dated. There is a restaurant right next door and the location is quiet. There is a walking path close by and a creek right behind the... More
Carleton Hotel,Carleton,0.0,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
